Id,Label,Type,Int Type
one,one,Words,1
steal,steal,Words,1
nothing,nothing,Words,1
ever,ever,Words,1
id,id,Words,1
hide,hide,Words,1
wed,wed,Words,1
heart,heart,Words,1
give,give,Words,1
could,could,Words,1
charm,charm,Words,1
shes,shes,Words,1
signed,signed,Words,1
danger,danger,Words,1
really,really,Words,1
part,part,Words,1
see,see,Words,1
repent,repent,Words,1
may,may,Words,1
want,want,Words,1
warning,warning,Words,1
fall,fall,Words,1
cherry,cherry,Words,1
sigh,sigh,Words,1
intertwine,intertwine,Words,1
join,join,Words,1
moon,moon,Words,1
eye,eye,Words,1
breeze,breeze,Words,1
lover,lover,Words,1
boy,boy,Words,1
meet,meet,Words,1
youre,youre,Words,1
story,story,Words,1
ago,ago,Words,1
come,come,Words,1
carressed,carressed,Words,1
find,find,Words,1
write,write,Words,1
bright,bright,Words,1
sight,sight,Words,1
poet,poet,Words,1
grow,grow,Words,1
bride,bride,Words,1
beside,beside,Words,1
look,look,Words,1
love,love,Words,1
true,true,Words,1
apple,apple,Words,1
white,white,Words,1
way,way,Words,1
two,two,Words,1
always,always,Words,1
tree,tree,Words,1
pink,pink,Words,1
gently,gently,Words,1
start,start,Words,1
new,new,Words,1
long,long,Words,1
blossom,blossom,Words,1
go,go,Words,1
enthrall,enthrall,Words,1
branch,branch,Words,1
say,say,Words,1
strong,strong,Words,1
ten,ten,Words,1
right,right,Words,1
join,join,Words,1
put,put,Words,1
twelve,twelve,Words,1
strike,strike,Words,1
well,well,Words,1
clock,clock,Words,1
six,six,Words,1
fun,fun,Words,1
four,four,Words,1
nine,nine,Words,1
one,one,Words,1
tonight,tonight,Words,1
ring,ring,Words,1
daylight,daylight,Words,1
cool,cool,Words,1
ill,ill,Words,1
goin,goin,Words,1
na,na,Words,1
slow,slow,Words,1
broad,broad,Words,1
two,two,Words,1
glad,glad,Words,1
band,band,Words,1
seventh,seventh,Words,1
seven,seven,Words,1
heaven,heaven,Words,1
five,five,Words,1
eleven,eleven,Words,1
yell,yell,Words,1
start,start,Words,1
three,three,Words,1
rockin,rockin,Words,1
round,round,Words,1
hon,hon,Words,1
rock,rock,Words,1
gon,gon,Words,1
oclock,oclock,Words,1
rag,rag,Words,1
chime,chime,Words,1
til,til,Words,1
around,around,Words,1
eight,eight,Words,1
get,get,Words,1
hotel,hotel,Words,1
cry,cry,Words,1
im,im,Words,1
well,well,Words,1
die,die,Words,1
clerk,clerk,Words,1
desk,desk,Words,1
room,room,Words,1
lover,lover,Words,1
never,never,Words,1
theyre,theyre,Words,1
tell,tell,Words,1
youll,youll,Words,1
find,find,Words,1
although,although,Words,1
take,take,Words,1
tale,tale,Words,1
baby,baby,Words,1
flowin,flowin,Words,1
back,back,Words,1
tear,tear,Words,1
ill,ill,Words,1
end,end,Words,1
street,street,Words,1
bellhop,bellhop,Words,1
keep,keep,Words,1
though,though,Words,1
crowd,crowd,Words,1
lonely,lonely,Words,1
still,still,Words,1
could,could,Words,1
always,always,Words,1
heartbreak,heartbreak,Words,1
brokenhearted,brokenhearted,Words,1
gloom,gloom,Words,1
since,since,Words,1
theyll,theyll,Words,1
leave,leave,Words,1
new,new,Words,1
long,long,Words,1
place,place,Words,1
dwell,dwell,Words,1
theyve,theyve,Words,1
dress,dress,Words,1
sad,sad,Words,1
black,black,Words,1
walk,walk,Words,1
im,im,Words,1
might,might,Words,1
ahead,ahead,Words,1
u,u,Words,1
least,least,Words,1
think,think,Words,1
mad,mad,Words,1
bright,bright,Words,1
ill,ill,Words,1
love,love,Words,1
want,want,Words,1
say,say,Words,1
forget,forget,Words,1
something,something,Words,1
youll,youll,Words,1
make,make,Words,1
find,find,Words,1
come,come,Words,1
alone,alone,Words,1
thinking,thinking,Words,1
dont,dont,Words,1
telephone,telephone,Words,1
sit,sit,Words,1
cant,cant,Words,1
future,future,Words,1
know,know,Words,1
apart,apart,Words,1
baby,baby,Words,1
cruel,cruel,Words,1
true,true,Words,1
really,really,Words,1
walk,walk,Words,1
thats,thats,Words,1
preacher,preacher,Words,1
past,past,Words,1
please,please,Words,1
stop,stop,Words,1
look,look,Words,1
heart,heart,Words,1
way,way,Words,1
cross,cross,Words,1
feel,feel,Words,1
home,home,Words,1
around,around,Words,1
let,let,Words,1
ask,ask,Words,1
im,im,Words,1
well,well,Words,1
leaf,leaf,Words,1
think,think,Words,1
fuzzy,fuzzy,Words,1
seem,seem,Words,1
yay,yay,Words,1
shaky,shaky,Words,1
love,love,Words,1
chill,chill,Words,1
mind,mind,Words,1
knee,knee,Words,1
actin,actin,Words,1
inside,inside,Words,1
cure,cure,Words,1
man,man,Words,1
say,say,Words,1
mm,mm,Words,1
mine,mine,Words,1
buttercup,buttercup,Words,1
luck,luck,Words,1
itchin,itchin,Words,1
like,like,Words,1
wella,wella,Words,1
whatsa,whatsa,Words,1
scar,scar,Words,1
girl,girl,Words,1
touch,touch,Words,1
body,body,Words,1
wild,wild,Words,1
wrong,wrong,Words,1
dont,dont,Words,1
little,little,Words,1
bug,bug,Words,1
mixed,mixed,Words,1
foot,foot,Words,1
fine,fine,Words,1
get,get,Words,1
cant,cant,Words,1
hot,hot,Words,1
proud,proud,Words,1
volcano,volcano,Words,1
one,one,Words,1
tie,tie,Words,1
try,try,Words,1
speak,speak,Words,1
feelin,feelin,Words,1
tree,tree,Words,1
shes,shes,Words,1
death,death,Words,1
thats,thats,Words,1
friend,friend,Words,1
hand,hand,Words,1
weak,weak,Words,1
theres,theres,Words,1
soul,soul,Words,1
please,please,Words,1
tongue,tongue,Words,1
